book,chapter,summary
1,1,"God creates heaven and earth; the light; the firmament; separates the dry land; forms the sun, moon, and stars; fishes and fowls; cattle, wild beasts, and creeping things; creates man in his own image, blesses him; grants the fruits of the earth for food."
1,2,"The first Sabbath; Further particulars concerning the manner of creation; The planting of the garden of Eden, and its situation; man is placed in it; and the tree of knowledge only forbidden; The animals are named by Adam; The making of woman, and the institution of marriage."
1,3,"The serpent deceives Eve; Both she and Adam transgress the divine command, and fall into sin and misery; God arraigns them; The serpent is cursed; The promised seed; The punishment of mankind; Their first clothing; Their expulsion from paradise."
1,4,"The birth, occupation, and offering of Cain and Abel; Cain murders his brother Abel; The curse of Cain; Has a son called Enoch, and builds a city, which he calls after his name; His descendants, with Lamech and his two wives; The birth of Seth, and Enos."
1,5,"Recapitulation of the creation of man; The genealogy, age, and death of the patriarchs from Adam to Noah; The godliness and translation of Enoch; The birth of Noah, etc."
1,6,"The wickedness of the world, which provoked God�s wrath, and caused the flood; Noah finds grace; His generations, etc; The order, form, dimensions, and end of the ark."
1,7,"Noah, with his family, and the living creatures, enter the ark, and the flood begins; The increase and continuance of the flood for forty days; All flesh is destroyed by it; Its duration."
1,8,"God remembers Noah, and assuages the waters; The ark rests on Ararat; Noah sends forth a raven and then a dove; Noah, being commanded, goes forth from the ark; He builds an altar, and offers sacrifice, which God accepts, and promises to curse the earth no more."
1,9,"God blesses Noah and his sons, and grants them flesh for food; Blood and murder are forbidden; God�s covenant, of which the rainbow was constituted a pledge; Noah�s family replenish the world; Noah plants a vineyard; Is drunken, and mocked by his son; Curses Canaan; Blesses Shem; Prays for Japheth, and dies."
1,10,"The generations of Noah; Japheth; Ham; Nimrod the first monarch, and the descendants of Canaan; The sons of Shem."
1,11,"One language in the world; The building of Babel; It is interrupted by the confusion of tongues, and the builders dispersed; The generations of Shem; The generations of Terah, the father of Abram; Terah, with Abram and Lot, remove from Ur to Haran."
1,12,"God calls Abram, and blesses him with a promise of Christ; He departs with Lot from Haran, and comes to Canaan; He journeys through Canaan, which is promised to him in a vision; He is driven by famine into Egypt; Fear makes him feign his wife to be his sister; Pharaoh, having taken her from him, by plagues is compelled to restore her; He reproves Abram, whom he dismisses."
1,13,"Abram and Lot return with great riches out of Egypt; Strife arises between Abram�s herdsmen and those of Lot; Abram meekly refers it to Lot to choose his part of the country, and Lot goes to Sodom; God renews the promise to Abram; He removes to Hebron, and there builds an altar."
1,14,"The battle of four kings against the king of Sodom and his allies; Lot is taken prisoner; Abram rescues him; Melchizedek blesses Abram at his return, who gives him tithes; The rest of the spoil, his partners having had their portions he restores to the king of Sodom."
1,15,"God encourages Abram, who complains for want of an heir; God promises him a son, and a multiplying of his seed; Abram is justified by faith; Canaan is promised again, and confirmed by a sign, and a vision, prophetic of the condition of his posterity till brought out of Egypt."
1,16,"Sarai, being barren, gives Hagar to Abram; Hagar, being afflicted for despising her mistress, runs away; An angel commands her to return and submit herself, promises her a numerous posterity, and shows their character and condition; Hagar names the place, and returns to Sarai; Ishmael is born; The age of Abram."
1,17,"God renews the covenant with Abram, and changes his name to Abraham, in token of a greater blessing; Circumcision is instituted; Sarai�s name is changed to Sarah, and she is blessed; Isaac is promised, and the time of his birth fixed; Abraham and Ishmael are circumcised."
1,18,"The Lord appears to Abraham, who entertains angels; Sarah is reproved for laughing at the promise of a son; The destruction of Sodom is revealed to Abraham; Abraham makes intercession for the inhabitants."
1,19,"Lot entertains two angels; The vicious Sodomites are smitten with blindness; Lot is warned, and in vain warns his sons-in-law; He is directed to flee with his family to the mountains, but obtains leave to go into Zoar; Sodom and Gomorrah are destroyed; Lot�s wife becomes a pillar of salt; Lot dwells in a cave; The incestuous origin of Moab and Ammon."
1,20,"Abraham sojourns at Gerar; Denies his wife, who is taken by Abimelech; Abimelech is reproved for her in a dream; He rebukes Abraham; Restores Sarah; and reproves her; Abimelech and his family are healed at Abraham�s prayer."
1,21,"Isaac is born, and circumcised; Sarah�s joy; Isaac is weaned; Hagar and Ishmael are cast forth; Hagar in distress; The angel relieves and comforts her; Abimelech�s covenant with Abraham at Beer-sheba."
1,22,"Abraham is tempted to offer Isaac; He gives proof of his faith and obedience; The angel prevents him; Isaac is exchanged for a ram; The place is called Jehovah-jireh; Abraham is again blessed; The generations of Nahor unto Rebekah."
1,23,"The age and death of Sarah; The purchase of the field and cave of Machpelah; where Sarah is buried."
1,24,"Abraham swears his servant; The servant�s journey; His prayer; His sign; Rebekah meets him; fulfils his sign; receives jewels; shows her kindred; and invites him home; The servant blesses God; Laban entertains him; The servant shows his message; Laban and Bethuel approve it; Rebekah consents to go, and departs; Isaac meets and marries her."
1,25,"The sons of Abraham by Keturah; The division of his goods; His age, death, and burial; God blesses Isaac; The generations of Ishmael; His age and death; Isaac prays for Rebekah, being barren; The children strive in her womb; The birth of Esau and Jacob; Their different characters and pursuits; Esau sells his birthright."
1,26,"Isaac, because of famine, sojourns in Gerar, and the Lord instructs and blesses him; He is reproved by Abimelech for denying his wife; He grows rich, and the Philistines envy his prosperity; He digs Esek, Sitnah, and Rehoboth; God appears to him at Beer-sheba, and blesses him; and Abimelech makes a covenant with him; Esau�s wives."
1,27,"Isaac sends Esau for venison; Rebekah instructs Jacob to obtain the blessing; Jacob, feigning to be Esau, obtains it; Esau brings venison; Isaac trembles; Esau complains, and by importunity obtains a blessing; He threatens Jacob�s life; Rebekah disappoints him, by sending Jacob away."
1,28,"Isaac blesses Jacob, and sends him to Padan-aram; Esau marries Mahalath the daughter of Ishmael; Jacob journeys, and has a vision of a ladder; The stone of Beth-el; Jacob�s vow."
1,29,"Jacob comes to the well of Haran; He becomes acquainted with Rachel; Laban entertains him; Jacob covenants for Rachel; He is deceived by Laban with Leah; He marries also Rachel, and serves for her seven years more; Leah bears Reuben; Simeon; Levi; and Judah."
1,30,"Rachel, in grief for her barrenness, gives Bilhah her maid unto Jacob; Bilhah bears Dan and Naphtali; Leah gives Zilpah her maid, who bears Gad and Asher; Reuben finds mandrakes, with which Leah buys her husband�s company of Rachel; Leah bears Issachar, Zebulun, and Dinah; Rachel bears Joseph; Jacob desires to depart; Laban detains him on a new agreement; Jacob�s policy, whereby he becomes rich."
1,31,"Jacob, displeased with the envy of Laban and his sons, departs secretly; Rachel steals her father�s images; Laban pursues after him, and complains of the wrong; Rachel�s stratagem to hide the images; Jacob�s complaint of Laban; The covenant of Laban and Jacob at Galeed."
1,32,"Jacob�s vision at Mahanaim; His message to Esau; He is afraid of Esau�s coming; He prays for deliverance; He sends a present to Esau, and passes the brook Jabbok; He wrestles with an angel at Peniel, where he is called Israel; He halts."
1,33,"Jacob and Esau�s meeting; and Esau�s departure; Jacob comes to Succoth; At Shalem he buys a field, and builds an altar, called El-elohe-Israel."
1,34,"Dinah is ravished by Shechem; He sues to marry her; The sons of Jacob offer the condition of circumcision to the Shechemites; Hamor and Shechem persuade them to accept it; The sons of Jacob upon that advantage slay them, and spoil their city; Jacob reproves Simeon and Levi."
1,35,"God commands Jacob to go to Bethel; He purges his house of idols; He builds an altar at Bethel; Deborah dies at Allon-bachuth; God blesses Jacob at Bethel; Rachel travails of Benjamin, and dies in the way to Edar; Reuben lies with Bilhah; The sons of Jacob; Jacob comes to Isaac at Hebron; The age, death, and burial of Isaac."
1,36,"Esau�s three wives; His removal to mount Seir; His sons; The dukes which descended of his sons; The sons and dukes of Seir the Horite; Anah finds mules; The kings of Edom; The dukes that descended of Esau."
1,37,"Joseph is loved by Jacob, but hated by his brethren; His dreams and the interpretation; Jacob sends him to his brethren, who counsel to slay him; At Reuben�s desire they cast him into a pit; and afterwards sell him to the Ishmaelites; while Ruben grieves at not finding him; His coat, covered with blood, is sent to Jacob, who mourns him inordinately; Joseph is brought to Egypt and sold to Potiphar."
1,38,"Judah begets Er, Onan, and Shelah; Er�s marriage with Tamar, and death; The trespass of Onan; Tamar is reserved for Shelah; Judah�s wife dies; Tamar deceives Judah; She bears twins, Pharez and Zarah."
1,39,"Joseph is bought by Potiphar, and preferred in the family; He resists his mistress�s temptation; He is falsely accused by her; He is cast into prison; God is with him there, and he is advanced by the keeper of prison."
1,40,"The chief butler and baker of Pharaoh being imprisoned, Joseph is charged with them; He interprets their dreams; They are accomplished according to his interpretation; The ingratitude of the butler, in forgetting Joseph."
1,41,"Pharaoh has two dreams; Joseph interprets them; He gives Pharaoh counsel, and is highly advanced, and married; The seven years of plenty; He begets children; The famine begins."
1,42,"Jacob sends his ten sons to buy corn in Egypt; They are imprisoned by Joseph for spies; They are set at liberty, on condition to bring Benjamin; They have remorse for Joseph; Simeon is kept for a pledge; They return with corn, and their money; Their relation to Jacob; Jacob refuses to send Benjamin."
1,43,"Jacob is hardly persuaded to send Benjamin; Joseph entertains his brethren; They discover their fears to the steward; Joseph makes them a feast."
1,44,"Joseph�s policy to stay his brethren; The cup is found in Benjamin�s sack; They are brought before Joseph; Judah�s humble supplication to Joseph."
1,45,"Joseph makes himself known to his brethren; He comforts them in God�s providence; He sends for his father; Pharaoh confirms it; Joseph furnishes then for their journey, and exhorts them to concord; Jacob is revived with the news."
1,46,"Jacob is comforted by God at Beer-sheba; Thence he with his company goes into Egypt; The number of his family that went into Egypt; Joseph meets Jacob; He instructs his brethren how to answer Pharaoh."
1,47,"Joseph presents his father, and five of his brethren before Pharaoh; He gives them habitation and maintenance; He gets the Egyptians� money; their cattle; and their lands, except the priests�, to Pharaoh; He restores the land for a fifth; Jacob�s age; He swears Joseph to bury him with his fathers."
1,48,"Joseph with his sons visits his sick father; Jacob strengthens himself to bless them; He repeats God�s promise; He takes Ephraim and Manasseh as his own sons; He tells Joseph of his mother�s grave; He blesses Ephraim and Manasseh; He prefers the younger before the elder; He prophesies their return to Canaan."
1,49,"Jacob calls his sons to bless them; Their blessing in particular; He charges them about his burial; He dies."
1,50,"The mourning for Jacob; Joseph gets leave of Pharaoh to go to bury him; The funeral; Joseph comforts his brethren, who crave his pardon; His age; He sees the third generation of his sons; He prophesies unto his brethren of their return; He takes an oath of them concerning his bones; He dies, and is put into a coffin."
2,1,"The children of Israel, after Joseph�s death, increase; The more they are oppressed by a new king, the more they multiply; The godliness of the midwives, in saving the men children alive; Pharaoh commands the male children to be cast into the river."
2,2,"Moses is born, and in an ark cast into the flags; He is found, and brought up by Pharaoh�s daughter; who employs his mother to nurse him; He slays an Egyptian; He reproves an Hebrew; He flees into Midian, and marries Zipporah; Gershom is born; God respects the Israelites� cry."
2,3,"Moses keeps Jethro�s flock; God appears to him in a burning bush; He sends him to deliver Israel; The name of God; His message to Israel, and Pharaoh, whose opposition is foretold; He is assured of Israel�s deliverance."
2,4,"Moses�s rod is turned into a serpent; His hand is leprous; He is loath to be sent; Aaron is appointed to assist him; Moses departs from Jethro; God�s message to Pharaoh; Zipporah circumcises her son; Aaron is sent to meet Moses; The people believe them."
2,5,"Pharaoh chides Moses and Aaron for their message; He increases the Israelites� task; He checks their complaints; They cry out upon Moses and Aaron; Moses complains to God."
2,6,"God renews his promise by his name JEHOVAH; Moses vainly attempts to encourage the Israelites; He and Aaron are again sent to Pharaoh; The genealogy of Reuben, of Simeon, and of Levi, of whom came Moses and Aaron; The history resumed."
2,7,"Moses and Aaron are encouraged to go again to Pharaoh; Their age; Aaron�s rod is turned into a serpent; The sorcerers do the like; but their rods are swallowed up by Aaron�s; Pharaoh�s heart is hardened; God�s message to Pharaoh; The river is turned into blood; and the consequent distress of the Egyptians."
2,8,"Frogs are sent; Pharaoh sues to Moses, who by prayer removes them away; The dust is turned into lice, which the magicians could not do; The plague of flies; Pharaoh inclines to let the people go, but yet is hardened."
2,9,"The murrain of beasts; The plague of boils and blains; The message of Moses about the hail; The plague of hail; Pharaoh sues to Moses, but yet is hardened."
2,10,"God threatens to send locusts; Pharaoh moved by his servants, inclines to let the Israelites go; The plague of the locusts; Pharaoh entreats Moses; The plague of darkness; Pharaoh again entreats Moses, but yet is hardened."
2,11,"God�s message to the Israelites to borrow jewels of their neighbours; Moses threatens Pharaoh with the death of the firstborn."
2,12,"The beginning of the year is changed; The passover is instituted; The import of the rite of the passover; Unleavened bread, etc; The firstborn are slain; The Israelites are driven out of the land; They come to Succoth; The time of their sojourning; The ordinance of the passover."
2,13,"The firstborn are sanctified to God; The memorial of the passover is commanded; The firstlings of man and beast are set apart; The Israelites go out of Egypt, and carry Joseph�s bones with them; They come to Etham; God guides them by a pillar of a cloud, and a pillar of fire."
2,14,"God instructs the Israelites in their journey; Pharaoh pursues after them; The Israelites murmur; Moses comforts them; God instructs Moses; The cloud removes behind the camp; The Israelites pass through the Red sea, which drowns the Egyptians."
2,15,"The song of Moses, Miriam, and Israel on their deliverance; The people want water in the wilderness; The waters at Marah are bitter, they murmur, Moses prays, and sweetens the waters by God�s direction; They encamp at Elim, where are twelve wells, and seventy palm trees."
2,16,"The Israelites come to Sin, and murmur for want of bread; God promises them bread and flesh from heaven, and they are rebuked; Quails and manna are sent; The ordering of manna; It was not to be found on the sabbath; An omer of it is preserved."
2,17,"The people murmur for water at Rephidim; God sends them for water to the rock in Horeb; The place is called Massah and Meribah; Amalek is overcome by Joshua, while Moses holds up his hands with the rod of God; v."
2,18,"Jethro brings his wife and two sons to Moses; Moses entertains him, and relates the goodness of the Lord; Jethro rejoices, blesses God, and offers sacrifice; He gives good counsel, which is accepted; Jethro departs."
2,19,"The people arrive at Sinai; God�s message by Moses unto the people out of the mount; The people�s answer returned again; The people are prepared against the third day, for the giving of the law; The mountain must not be touched; The fearful presence of God upon the mount."
2,20,"The ten commandments are spoken by Jehovah; The people are afraid, but Moses comforts them; Idolatry is forbidden; Of what sort the altar should be."
2,21,"Laws for men servants; For the servant whose ear is bored; For women servants; For manslaughter; For stealers of men; For cursers of parents; For smiters; For a hurt by chance; For an ox that gores; For him that is an occasion of harm."
2,22,"Of theft; Of damage; Of trespasses; Of borrowing; Of fornication; Of witchcraft; Of bestiality; Of idolatry; Of strangers, widows, and fatherless; Of usury; Of pledges; Of reverence to magistrates; Of the first fruits; Of torn flesh."
2,23,"Of slander, false witness, and partiality; Of charitableness; Of justice in judgment; Of taking bribes; Of oppressing a stranger; Of the year of rest; Of the sabbath; Of idolatry; Of the three feasts; Of the blood and the fat of the sacrifice; An angel is promised, with a blessing, if they obey him."
2,24,"Moses is called up into the mountain; The people promise obedience; Moses builds an altar, and twelve pillars; He sprinkles the blood of the covenant; The glory of God appears; Aaron and Hur have the charge of the people; Moses goes into the mountain, where he continues forty days and forty nights."
2,25,"What the Israelites were to offer for the formation of the tabernacle; The form of the ark; The mercy seat, with the cherubims; The table of shew bread, with the furniture thereof; The golden candlestick, with the instruments thereof."
2,26,"The ten curtains of the tabernacle; The eleven curtains of goats� hair, and the covering of rams� and badgers� skins; The boards of the tabernacle, with their sockets and bars; The vail for the ark; The hanging for the door."
2,27,"The altar of burnt offering, with the vessels thereof; The court of the tabernacle inclosed with hangings and pillars; The measure of the court, and the furniture of brass; The oil for the lamp."
